ShotType;Competition;PlayerType;Transition;TwoLegged;Movement;Angle;Distance
above head;U14;F;1;1;no;73.83;0.73
layup;U14;F;0;1;no;28.13;1.02
above head;U14;F;0;1;no;51.88;7.22
above head;U14;F;1;1;no;80.84;3.64
above head;U14;F;0;1;no;30.89;7.2
other;U14;F;0;1;no;63.96;1.07
above head;U14;F;1;0;no;49.7;0.56
layup;U14;F;1;0;dribble or cut;64.48;0.59
layup;U14;F;0;0;dribble or cut;62.56;0.91
layup;U14;F;0;0;dribble or cut;39.79;0.75
layup;U14;F;1;1;no;59.97;0.62
above head;U14;F;0;1;no;46.66;7.51
above head;U14;F;0;0;no;2.87;2.14
layup;U14;G;1;0;dribble or cut;64.48;0.59
other;U14;G;0;1;no;7.81;7.49
other;U14;G;1;0;dribble or cut;59.78;1.36
other;U14;G;0;1;no;62.66;7.36
other;U14;G;0;0;dribble or cut;5.08;2.42
above head;U14;G;0;1;no;28.04;6.27
layup;U14;G;1;0;dribble or cut;60.91;0.86
other;U14;G;0;1;no;4.42;6.95
above head;U14;G;0;0;dribble or cut;7.16;1.29
other;U14;G;0;1;no;43.19;7.51
above head;U14;G;0;1;no;52.99;1.68
other;U14;G;0;1;no;72.12;7.15
layup;U14;G;0;1;no;72.56;0.67
other;U14;G;0;1;no;21.04;7.31
other;U14;G;0;1;no;84.39;5.92
other;U14;G;0;1;no;83.18;4.42
above head;U14;G;0;1;no;84.92;5.32
other;U14;G;0;1;no;87.88;6.92
above head;U14;G;0;1;no;31.93;7.6
other;U14;G;0;1;no;48.34;7.03
layup;U14;G;0;0;dribble or cut;62.05;0.55
other;U14;G;0;1;no;41.24;7.07
other;U14;G;1;0;no;66.54;0.64
other;U14;G;0;1;no;30;7.07
layup;U14;G;1;0;dribble or cut;45.76;0.6
other;U14;G;0;0;drive;36.64;1.8
layup;U14;G;0;0;dribble or cut;55.84;0.65
other;U14;G;0;1;no;14.31;7.15
other;U14;G;0;1;no;81.18;6.94
above head;U14;G;0;1;no;75.64;2.99
above head;U14;G;0;1;no;52.57;1.48
layup;U14;G;0;0;drive;0;0.47
other;U14;G;0;1;no;44.62;7.09
layup;U14;G;0;0;dribble or cut;54.15;0.53
above head;U14;G;0;1;no;33.48;5.34
above head;U14;G;0;1;no;45.48;4.36
above head;U14;G;0;1;no;76.45;2.7
above head;U14;F;0;1;no;16.13;7.33
other;U14;F;1;1;no;51.42;2.74
above head;U14;F;0;0;no;62.28;0.67
above head;U14;F;0;0;dribble or cut;33.26;1.47
above head;U14;F;0;0;dribble or cut;31.97;0.81
hook shot;U14;F;1;1;no;75.24;2.27
other;U14;F;0;1;no;15.39;7.47
above head;U14;F;1;1;no;41.66;7.33
layup;U14;F;0;0;dribble or cut;83.85;0.38
layup;U14;F;0;1;no;49.49;1.06
layup;U14;F;0;0;drive;55.84;0.65
layup;U14;F;0;0;dribble or cut;49.7;0.56
above head;U14;F;0;1;no;66.02;4.34
layup;U14;F;0;1;no;0;0.52
other;U14;F;0;0;drive;24.83;3.19
above head;U14;F;0;1;no;56;1.23
above head;U14;F;0;1;no;26.26;5.57
above head;U14;F;0;1;no;4.71;7.17
layup;U14;F;0;0;dribble or cut;59.97;0.62
layup;U14;F;1;0;dribble or cut;54.15;0.53
layup;U14;F;0;0;drive;70.14;0.91
above head;U14;F;0;0;dribble or cut;71.22;0.96
hook shot;U14;F;0;1;no;72.86;1.23
hook shot;U14;F;0;0;no;3.86;0.8
above head;U14;F;0;1;no;33.83;7.7
above head;U14;F;0;1;no;55.65;5.32
hook shot;U14;F;0;1;no;2.75;1.12
hook shot;U14;F;0;0;no;1.92;1.6
above head;U14;F;0;1;no;74.14;4.68
above head;U14;F;0;1;no;60.04;1.05
above head;U14;F;0;1;no;40.78;5.74
layup;U14;F;0;0;dribble or cut;77.6;0.44
above head;U14;F;0;0;dribble or cut;68.3;0.69
other;U14;F;1;0;dribble or cut;69.35;1.03
above head;U14;F;0;1;no;48.47;7.37
above head;U14;F;0;1;no;34.71;5.55
above head;U14;F;0;1;no;15.06;4.95
layup;U14;F;0;0;dribble or cut;68.3;0.69
above head;U14;F;0;0;no;50.89;1.17
layup;U14;F;0;1;no;8.87;0.69
layup;U14;F;0;0;dribble or cut;59.97;0.62
